Sl. No,NameOfIncident,Date,Month,Year,Country,TypeOfEvent,PlaceName,Impact,AffectedPopulation,ImportantPersonGroupResponsible,Outcome,latitude,longitude
54,Pulwama Terrorist Attack,14,February,2019.0,India,Terrorism,"Pulwama, Jammu and Kashmir",Led to a significant military and diplomatic standoff between India and Pakistan,Indian security forces,JaishUnknowneUnknownMohammed,Negative,33.8756947,74.9003129
55,Historic Solar Alliance Initiative,30,November,2015.0,India,International Cooperation,"Paris, France",India coUnknownlaunched the International Solar Alliance to promote solar energy globally,Global community,"Government of India, France",Positive,,
58,2016 Uri Attack and Subsequent Surgical Strikes,18,September,2016.0,India,Military,"Uri, Jammu and Kashmir",Led to crossUnknownborder surgical strikes by India against militant launch pads in Pakistan,Military forces,Indian Army,Mixed,34.0875109,73.97459205250519
59,Formation of Indian National Congress,28,December,1885.0,India,Political Formation,Mumbai,Aimed to obtain a greater share in government for educated Indians.,Indian political leaders,"Allan Octavian Hume, Indian leaders",Positive,19.08157715,72.88662753964906
60,Partition of Bengal,16,October,1905.0,India,Administrative,Bengal,Led to widespread nationalistic protests and was eventually reversed in 1911.,People of Bengal,Lord Curzon,Negative,22.9964948,87.6855882
61,Jallianwala Bagh Massacre,13,April,1919.0,India,Massacre,Amritsar,Galvanized the Indian population against British rule.,People of Amritsar,General Dyer,Negative,31.6343083,74.8736788
63,Chauri Chaura Incident,4,February,1922.0,India,Violent Protest,"Chauri Chaura, Uttar Pradesh",Led to Gandhi halting the NonUnknownCooperation Movement due to violence.,Protesters,Indian protesters,Negative,26.62479125,83.5598395914498
64,Dandi March,12,March,1930.0,India,Civil Disobedience,Dandi,"Protest against the salt tax and British monopoly, pivotal in the independence movement.","Mahatma Gandhi, followers",Mahatma Gandhi,Positive,24.3367223,81.97638177757437
65,First Round Table Conference,Unknown,November,1930.0,United Kingdom,Conference,London,Aimed at discussing constitutional reforms; boycotted by the Congress.,"Indian princely states, British officials",British government,Mixed,51.4893335,-0.1440550845276872
66,Purna Swaraj Declaration,26,January,1930.0,India,Political Declaration,Lahore,The declaration of complete independence from British rule by the Congress.,Indian National Congress,Indian National Congress,Positive,31.7621021,74.8295989
67,Quit India Movement,8,August,1942.0,India,Mass Protest,Mumbai,Called for an orderly British withdrawal from India.,"Indian National Congress, Indian civilians","Mahatma Gandhi, Indian National Congress",Positive,19.08157715,72.88662753964906
68,Cripps Mission,Unknown,March,1942.0,India,Negotiation,New Delhi,Proposed Indian dominion status after WWII; rejected by Indian leaders.,Indian leaders,Sir Stafford Cripps,Negative,28.6138954,77.2090057
69,Bengal Famine of 1943,Unknown,Unknown,1943.0,India,Famine,Bengal,Led to widespread criticism of British war policies and their impact on Indian civilians.,People of Bengal,British administration,Negative,22.9964948,87.6855882
70,Partition Plan Announced,3,June,1947.0,India,Political Decision,New Delhi,Announced the creation of India and Pakistan as separate nations.,People of India and Pakistan,Lord Mountbatten,Negative,28.6138954,77.2090057
72,Constitution of India Adopted,26,January,1950.0,India,Constitutional Adoption,New Delhi,"India became a sovereign, socialist, secular, democratic republic.",Indian citizens,Constituent Assembly of India,Positive,28.6138954,77.2090057
79,Reserve Bank of India (RBI),1,April,1935.0,India,Central Banking Institution,Kolkata,"Regulates the issue of banknotes, maintains reserves to secure monetary stability, and operates the currency and credit system of the country.","Indian economy, global investors",British Government (preUnknownindependence),Positive,22.5726459,88.3638953
80,Indian Space Research Organisation (ISRO),15,August,1969.0,India,Space Agency,Bangalore,"Leads India's space exploration and satellite deployment, contributing to national development and global space science.","Global scientific community, Indian population",Government of India,Positive,12.98815675,77.62260003796
81,Bharatiya Janata Party (BJP),6,April,1980.0,India,Political Party,New Delhi,"Major political party in India, influencing the country's political landscape and governance policies.",Indian citizens,"Atal Bihari Vajpayee, L.K. Advani",Positive,28.6138954,77.2090057
82,Securities and Exchange Board of India (SEBI),12,April,1988.0,India,Regulatory Body,Mumbai,"Regulates the securities market in India, protecting investors and promoting the development of the securities market.","Investors, financial market participants",Government of India,Positive,19.08157715,72.88662753964906
83,Taj Mahal,Unknown,Unknown,1653.0,India,Mausoleum,Agra,"A UNESCO World Heritage Site, symbolizing love, and an architectural marvel of the Mughal era.","Global tourists, historians",Emperor Shah Jahan,Positive,27.1752554,78.0098161
84,Golden Temple (Harmandir Sahib),Unknown,Unknown,1585.0,India,Religious Shrine,Amritsar,"The spiritual and cultural center for the Sikh religion, known for its goldUnknownplated facade.","Sikhs, global pilgrims",Guru Arjan,Positive,31.6343083,74.8736788
86,First IndoUnknownPak War,22,October,1947.0,Pakistan,Military Conflict,Kashmir,Conflict over the princely state of Kashmir leading to ongoing disputes.,Residents of Kashmir,India and Pakistan,Negative,34.0479904,73.8151437
87,Pakistan Joins the United Nations,30,September,1947.0,Pakistan,International Relations,New York,"Pakistan becomes a member of the UN, starting its journey in international diplomacy.",Global community,Government of Pakistan,Positive,40.76754595,-73.96960894332463
89,East Pakistan demands autonomy,7,March,1971.0,Pakistan,Political Movement,Dhaka,Sheikh Mujibur Rahman's historic speech demanding autonomy for East Pakistan.,People of East Pakistan,Sheikh Mujibur Rahman,Mixed,32.3710726,73.0145399
91,Pakistan's Nuclear Tests (ChagaiUnknownI),28,May,1998.0,Pakistan,Nuclear Test,"Chagai, Balochistan","Pakistan becomes a nuclear power, conducting its first successful nuclear tests.",International community,Government of Pakistan,Mixed,28.886231350000003,63.44152101578048
92,Kargil Conflict,Unknown,Unknown,1999.0,Pakistan,Military Conflict,"Kargil, Kashmir",A military conflict between India and Pakistan in the Kargil district of Kashmir.,Citizens of India and Pakistan,India and Pakistan,Negative,,
93,2005 Kashmir Earthquake,8,October,2005.0,Pakistan,Natural Disaster,Azad Kashmir,"A devastating earthquake affecting Kashmir region, causing widespread damage and casualties.",Residents of Kashmir,"Government of Pakistan, International Aid",Negative,33.84412,73.796642
94,Assassination of Benazir Bhutto,27,December,2007.0,Pakistan,Political,Rawalpindi,The assassination of the former Prime Minister of Pakistan and a major political figure.,Pakistani citizens,Unknown assailants,Negative,33.5914237,73.0535122
95,Operation ZarbUnknowneUnknownAzb,15,June,2014.0,Pakistan,Military Operation,North Waziristan,A military operation against insurgent groups in North Waziristan part of the War on Terror.,Residents of North Waziristan,Pakistan Armed Forces,Positive,33.0,70.0
96,2014 Peshawar School Massacre,16,December,2014.0,Pakistan,Terrorism,Peshawar,"A terrorist attack on the Army Public School, resulting in massive casualties, mostly children.","Students, teachers, families",TehrikUnknowniUnknownTaliban Pakistan,Negative,34.0123846,71.5787458
98,Panama Papers Case & Disqualification of PM Nawaz Sharif,28,July,2017.0,Pakistan,Political Corruption,Islamabad,Led to the disqualification of Prime Minister Nawaz Sharif from holding public office.,Pakistani citizens,Supreme Court of Pakistan,Mixed,33.6938118,73.0651511
99,Kartarpur Corridor Opening,9,November,2019.0,Pakistan,Diplomatic/Religious,Kartarpur,"A border corridor between Pakistan and India, allowing Sikh pilgrims visaUnknownfree access to a holy site.",Sikh community,Governments of Pakistan and India,Positive,32.090189,75.0153557
100,FATF Grey List,Unknown,Unknown,2018.0,Pakistan,International Finance,"Paris, France",Pakistan placed on the 'grey list' by the Financial Action Task Force for terror financing and money laundering risks.,Pakistani economy,Financial Action Task Force (FATF),Negative,48.87377665,2.299282519387282
101,Imran Khan Elected as Prime Minister,18,August,2018.0,Pakistan,Political,Islamabad,"Marks the first time a former cricketer transitioned to the Prime Minister, promising reform.",Pakistani citizens,Pakistan TehreekUnknowneUnknownInsaf (PTI),Positive,33.6938118,73.0651511
102,Abolition of FATA,31,May,2018.0,Pakistan,Administrative,Khyber Pakhtunkhwa,"Integrated the tribal regions into the Khyber Pakhtunkhwa province, aiming to mainstream the governance.",Residents of FATA,Government of Pakistan,Positive,33.712802,71.2678805
103,2019 Pulwama Attack and IndiaUnknownPakistan Standoff,14,February,2019.0,Pakistan,Military/Political,"Pulwama, India","Led to heightened military tensions between India and Pakistan, including crossUnknownborder air strikes.",Citizens of India and Pakistan,"JaishUnknowneUnknownMohammed, Governments of India and Pakistan",Negative,,
104,MinarUnknowneUnknownPakistan Construction,23,March,1960.0,Pakistan,Monument,Lahore,Symbolizes freedom and the independence of Pakistan.,Pakistani citizens,Government of Pakistan,Positive,31.5656822,74.3141829
105,Lahore Resolution (Pakistan Resolution),23,March,1940.0,Pakistan,Political Declaration,Lahore,A formal political statement that called for greater Muslim autonomy in British India.,Muslims in British India,AllUnknownIndia Muslim League,Positive,31.5656822,74.3141829
106,Siachen Glacier Conflict,Unknown,Unknown,1984.0,Pakistan,Military Conflict,Siachen Glacier,A military conflict between India and Pakistan over the disputed Siachen Glacier region in Kashmir.,Indian & Pakistani militaries,India and Pakistan,Negative,,
107,Indus Water Treaty,19,September,1960.0,Pakistan,International Agreement,Karachi,"A waterUnknowndistribution treaty between India and Pakistan, brokered by the World Bank.",Residents of India and Pakistan,"India, Pakistan, World Bank",Positive,24.8546842,67.0207055
108,Pakistan Atomic Energy Commission Establishment,1956,Unknown,1956.0,Pakistan,Scientific Organization,Islamabad,Established to oversee the nuclear energy and research projects in Pakistan.,Pakistani population,Government of Pakistan,Positive,33.6938118,73.0651511
110,Islamabad Declaration,22,January,1980.0,Pakistan,International Relations,Islamabad,An Islamic summit that led to the creation of the Economic Cooperation Organization (ECO).,ECO member states,Leaders of MuslimUnknownmajority countries,Positive,33.6938118,73.0651511
112,Women's Protection Bill,15,November,2006.0,Pakistan,Legislation,Islamabad,Aims to amend and strengthen laws related to women's rights and protection.,Women in Pakistan,Parliament of Pakistan,Positive,33.6938118,73.0651511
113,Malala Yousafzai's Nobel Peace Prize,10,December,2014.0,Pakistan,International Recognition,"Oslo, Norway",Awarded for her struggle against the suppression of children and young people and for the right of all children to education.,Global community,"Malala Yousafzai, Kailash Satyarthi",Positive,,
114,ChinaUnknownPakistan Friendship Highway Completion,Unknown,Unknown,1986.0,Pakistan,Infrastructure,Khunjerab Pass,"Part of the Karakoram Highway, symbolizing the strong bilateral relationship between China and Pakistan.","Residents, traders",Governments of China and Pakistan,Positive,36.8500484,75.4283462
116,18th Amendment to the Constitution,19,April,2010.0,Pakistan,Constitutional Amendment,Islamabad,A landmark amendment that devolved significant powers from the federal government to the provinces.,Pakistani citizens,Parliament of Pakistan,Positive,33.6938118,73.0651511
117,Pakistan's First Satellite Launch,16,July,1990.0,Pakistan,Space Exploration,"Xichang, China","Launch of BadrUnknown1, Pakistan's first indigenously developed and manufactured satellite.",Pakistani scientific community,SUPARCO,Positive,,
118,Protection of Women Act,29,November,2006.0,Pakistan,Legislation,Islamabad,Enhances legal protections for women against violence and discrimination.,Women in Pakistan,Parliament of Pakistan,Positive,33.6938118,73.0651511
119,National Database and Registration Authority (NADRA) Establishment,1998,Unknown,1998.0,Pakistan,Government Agency,Islamabad,Established to maintain a secure and efficient national identity system.,Pakistani citizens,Government of Pakistan,Positive,33.6938118,73.0651511
120,Karachi Nuclear Power Plant Operational,1972,Unknown,1972.0,Pakistan,Nuclear Energy,Karachi,Marks the beginning of nuclear energy use for peaceful purposes in Pakistan.,Pakistani population,Pakistan Atomic Energy Commission,Positive,24.8546842,67.0207055
122,Gwadar Port Development,22,March,2002.0,Pakistan,Infrastructure,Gwadar,"Development of a major deepUnknownsea port in the Arabian Sea, aiming to enhance trade.","Pakistani economy, regional trade","Government of Pakistan, China",Positive,25.1925141,62.327192425359094
124,Independence from British Rule,4,February,1948.0,Sri Lanka,Political,Colombo,Marked the end of British colonial rule and the beginning of selfUnknowngovernance.,Sri Lankan citizens,Don Stephen Senanayake,Positive,6.9388614,79.8542005
128,End of the Civil War,18,May,2009.0,Sri Lanka,Military,Mullaitivu,Ended nearly three decades of conflict between the Sri Lankan government and LTTE.,"Sri Lankan citizens, especially Tamils","Mahinda Rajapaksa, Sri Lankan Armed Forces",Positive,9.2698532,80.8145347
130,Republican Constitution of 1972,22,May,1972.0,Sri Lanka,Constitutional,Colombo,"Transitioned Ceylon to a republic named Sri Lanka, affirming sovereignty.",Sri Lankan citizens,Sirimavo Bandaranaike,Positive,6.9388614,79.8542005
131,Establishment of the Mahaweli Development Project,Unknown,Unknown,1977.0,Sri Lanka,Infrastructure Development,Mahaweli River,"Aimed at irrigation and hydroelectric power generation, significantly impacting agriculture and energy supply.","Residents, farmers",Government of Sri Lanka,Positive,7.0759984,80.5746702
132,1987 IndoUnknownSri Lanka Accord,29,July,1987.0,Sri Lanka,International Agreement,Colombo,"Aimed to resolve the civil war and ensure Tamil rights, leading to Indian Peace Keeping Force deployment.","Sri Lankan Tamils, general population","J.R. Jayewardene, Rajiv Gandhi",Mixed,6.9388614,79.8542005
135,Establishment of the Central Bank of Sri Lanka,28,August,1950.0,Sri Lanka,Economic Policy,Colombo,Centralized control over monetary policy and financial system regulation.,Economic sectors,Government of Sri Lanka,Positive,6.9388614,79.8542005
139,Establishment of the University of Ceylon,Unknown,Unknown,1942.0,Sri Lanka,Education Development,Colombo,"The first university in Sri Lanka, marking a milestone in higher education.","Students, academics",Government of Sri Lanka,Positive,6.9388614,79.8542005
142,Establishment of Sri Lanka Broadcasting Corporation,Unknown,Unknown,1967.0,Sri Lanka,Media Development,Colombo,"Asia's oldest radio station, contributing to the media landscape and cultural preservation.",Sri Lankan citizens,Government of Sri Lanka,Positive,6.9388614,79.8542005
143,Sigiriya Designated as a UNESCO World Heritage Site,Unknown,Unknown,1982.0,Sri Lanka,Cultural Heritage,Sigiriya,"Recognition of the ancient rock fortress for its historical, archaeological, and artistic value.",Global and local tourists,UNESCO,Positive,7.95638465,80.759825710275
149,Invention of Paper by Cai Lun,Unknown,Unknown,105.0,China,Scientific,Imperial court,Revolutionized the way information was recorded and transmitted through ages.,Global population,Cai Lun,Positive,22.2821509,114.14472654945044
151,Construction of the Great Wall,Unknown,Unknown,600.0,China,Architectural/Defensive,Northern China,A series of fortifications built across northern borders of China for protection and border control.,Chinese empire,Various Chinese dynasties,Mixed,,
152,Tang Dynasty's Golden Age,Unknown,Unknown,618.0,China,Cultural/Economic,Xi'an,"A period of relative peace, prosperity, and cultural achievement that influenced East Asia.",Chinese and neighboring countries,"Emperor Taizong, Wu Zetian",Positive,34.261004,108.9423363
153,Founding of the Song Dynasty,Unknown,Unknown,960.0,China,Dynastic Founding,Kaifeng,"Initiated advancements in technology, culture, and economics, including the use of gunpowder in warfare.",Chinese population,Emperor Taizu,Positive,34.604167,114.497222
156,The Opium Wars and Treaty of Nanjing,Unknown,Unknown,1842.0,China,International Conflict,Nanjing,Led to the opening of treaty ports and the cession of Hong Kong to Britain.,Chinese population,"Qing Dynasty, British Empire",Negative,32.0438284,118.7788631
157,Taiping Rebellion,Unknown,Unknown,1850.0,China,Civil War,Southern China,"One of the deadliest military conflicts in history, challenging the Qing Dynasty's rule.",Chinese population,Hong Xiuquan,Negative,,
158,Xinhai Revolution and the End of Imperial China,10,October,1911.0,China,Political,Wuchang,"Overthrew the Qing Dynasty, leading to the establishment of the Republic of China.",Chinese population,Sun YatUnknownsen,Positive,30.5566998,114.3109847
161,Handover of Hong Kong,1,July,1997.0,China,International Agreement,Hong Kong,Marked the return of Hong Kong from British to Chinese sovereignty.,Residents of Hong Kong,British and Chinese governments,Mixed,22.2793278,114.1628131
162,China Hosts the Olympic Games,8,August,2008.0,China,International Sports Event,Beijing,Showcased China's emergence as a global power and led to widespread infrastructural improvements in Beijing.,Global audience,"International Olympic Committee, Chinese government",Positive,40.190632,116.412144
167,Battle of Red Cliffs,Unknown,Unknown,208.0,China,Military,Yangtze River,A decisive battle that marked the beginning of the Three Kingdoms period in Chinese history.,Chinese states,"Sun Quan, Liu Bei",Positive,30.5588519,114.287703
172,Boxer Rebellion,Unknown,Unknown,1900.0,China,AntiUnknownImperialist Uprising,Northern China,An antiUnknownforeigner movement that aimed to rid China of foreign influence.,"Foreigners, Chinese Christians",Boxer militants,Negative,,
173,May Fourth Movement,4,May,1919.0,China,Cultural and Political Movement,Beijing,"A studentUnknownled protest against the Treaty of Versailles' decisions, sparking significant cultural and intellectual reform.","Chinese intellectuals, students","Chinese students, intellectuals",Positive,40.190632,116.412144
176,Deng Xiaoping's Southern Tour,Unknown,Unknown,1992.0,China,Economic Reform,Southern China,"Reaffirmed the commitment to economic reforms and openingUnknownup policies, leading to rapid economic growth.",Chinese citizens,Deng Xiaoping,Positive,,
177,Return of Hong Kong,1,July,1997.0,China,Sovereignty Transition,Hong Kong,Marked the transfer of sovereignty over Hong Kong from the United Kingdom to China.,Residents of Hong Kong,British and Chinese governments,Mixed,22.2793278,114.1628131
178,Return of Macau,20,December,1999.0,China,Sovereignty Transition,Macau,"Similar to Hong Kong's return, marked the transfer of sovereignty over Macau from Portugal to China.",Residents of Macau,Portuguese and Chinese governments,Mixed,22.1757605,113.5514142
179,2008 Beijing Olympics,8,August,2008.0,China,International Sports Event,Beijing,Showcased China's emergence as a global power and led to widespread infrastructural improvements in Beijing.,Global audience,"International Olympic Committee, Chinese government",Positive,40.190632,116.412144
180,Shanghai Cooperation Organization Establishment,15,June,2001.0,China,International Organization,Shanghai,"Founded to promote multilateral cooperation in security, economy, and culture among member states.",Member states,"China, Russia, Central Asian states",Positive,31.2323437,121.4691024
184,An Lushan Rebellion,Unknown,Unknown,755.0,China,Military Rebellion,"Chang'an, Luoyang",A devastating rebellion against the Tang dynasty that significantly weakened it.,"Tang dynasty, rebels",An Lushan,Negative,34.666666,112.3735934
186,Forbidden City Completion,Unknown,Unknown,1420.0,China,Architectural,Beijing,"Served as the imperial palace for Ming and Qing dynasties, symbolizing imperial power and architectural brilliance.","Chinese emperors, court",Ming Dynasty emperors,Positive,40.190632,116.412144
188,Treaty of Nanking Signed,Unknown,Unknown,1842.0,China,International Agreement,Nanjing,"Ended the First Opium War, ceding Hong Kong to Britain and opening up ports to foreign trade under unequal terms.","Qing Dynasty, British Empire","Qing Dynasty, British Empire",Negative,32.0438284,118.7788631
189,Establishment of the People's Republic of China,1,October,1949.0,China,Political,Beijing,"Marked the victory of the Communist Party in the Chinese Civil War, establishing a socialist state.",Chinese citizens,Mao Zedong,Positive,40.190632,116.412144
191,Founding of the People's Republic of China,1,October,1949.0,China,Political,Beijing,"Establishment of a communist government in China, significantly altering the country's political landscape.",Chinese citizens,Mao Zedong,Positive,40.190632,116.412144
194,SinoUnknownAmerican Rapprochement,Unknown,Unknown,1972.0,China,International Relations,"Beijing, Shanghai","Normalization of relations between China and the United States, marked by President Nixon's visit.",Chinese and American populations,"Mao Zedong, Zhou Enlai, Richard Nixon",Positive,31.2423947,121.4792097
196,Tiananmen Square Protests,Unknown,June,1989.0,China,Political,Beijing,ProUnknowndemocracy protests calling for political reform; violently suppressed by the government.,"Protesters, general public","Chinese government, protesters",Negative,40.190632,116.412144
197,Hong Kong Handover,1,July,1997.0,China,Sovereignty Transition,Hong Kong,Transfer of sovereignty over Hong Kong from the United Kingdom to China.,Residents of Hong Kong,British and Chinese governments,Mixed,22.2793278,114.1628131
198,China Joins the World Trade Organization (WTO),11,December,2001.0,China,International Economic Integration,Geneva,"Marked China's deeper integration into the global economy, significantly boosting trade.","Global economy, Chinese exporters",Chinese government,Positive,22.5006423,114.1008152
199,2008 Beijing Olympic Games,8,August,2008.0,China,International Sports Event,Beijing,Showcased China's emergence as a global power and led to widespread infrastructural improvements in Beijing.,Global audience,"International Olympic Committee, Chinese government",Positive,40.190632,116.412144
201,SARS Epidemic,Unknown,Unknown,2002.0,China,Health Crisis,Guangdong,A severe outbreak that underscored the need for global public health cooperation and transparency.,Global population,Unknown,Negative,23.1357694,113.1982688
202,AntiUnknownSecession Law Passed,14,March,2005.0,China,Legislation,Beijing,"Aimed at preventing Taiwan's independence through nonUnknownpeaceful means, escalating crossUnknownstrait tensions.",Chinese and Taiwanese populations,National People's Congress of China,Mixed,40.190632,116.412144
204,Shanghai World Expo,1,May,2010.0,China,International Exhibition,Shanghai,"Showcased China's cultural and economic global integration, attracting participants and visitors worldwide.",International visitors,"Shanghai World Expo Bureau, International Participants",Positive,31.2323437,121.4691024
205,Xi Jinping Assumes Presidency,14,March,2013.0,China,Political,Beijing,"Marked the beginning of Xi Jinping's leadership, significantly impacting China's domestic policies and global stance.",Chinese citizens,Xi Jinping,Mixed,40.190632,116.412144
207,South China Sea Arbitration Ruling,12,July,2016.0,China,International Relations,South China Sea,"An international tribunal ruled against China's claims in the South China Sea, which China rejected.",Regional claimant states,"Permanent Court of Arbitration, Chinese government",Negative,16.3211814,111.97892265793632
209,Comprehensive Agreement on Investment with the EU,30,December,2020.0,China,International Economic Agreement,Brussels,"Aimed to increase investment opportunities between China and the European Union, enhancing economic ties.",EU and Chinese investors,"European Union, Chinese government",Positive,30.599558,114.2605988
210,Foundation of Kievan Rus',Unknown,Unknown,882.0,Russia,State Formation,Kiev,"Established the first East Slavic state, laying the foundation for Russian nationality and statehood.",East Slavs,Prince Oleg of Novgorod,Positive,55.7431194,37.56541641043117
213,Battle of Kulikovo,8,September,1380.0,Russia,Military,Kulikovo Field,Marked the beginning of the decline of Mongol influence over Russian territories.,Russian principalities,Dmitry Donskoy,Positive,,
214,Ivan III Tripled the Territory of Russia,Unknown,Unknown,1490.0,Russia,Territorial Expansion,Moscow,"Known as ""Ivan the Great,"" he significantly expanded Russian territory and centralized power in Moscow.",Russian state,Ivan III,Positive,55.7505412,37.6174782
224,October Revolution,25,October,1917.0,Russia,Political Revolution,Saint Petersburg,"Overthrew the Provisional Government, leading to the establishment of the Soviet Union.",Russian society,Bolsheviks (Vladimir Lenin),Positive,59.9606739,30.1586551
230,Treaty of BrestUnknownLitovsk,3,March,1918.0,Russia,International Treaty,Brest,"Ended Russia's participation in WWI, ceding vast territories to the Central Powers.",Russian Empire,Bolshevik Government,Negative,56.6573112,84.95109170242839
231,Kronstadt Rebellion,7,March,1921.0,Russia,Military Rebellion,Kronstadt,"A major revolt by sailors against the Soviet government's policies, brutally suppressed.","Sailors, Red Army",Bolshevik Government,Negative,59.990845,29.774652
