Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome,Broad Category,Continent,Other,Military and Conflict,Political Events,Technological and Scientific Advancements,Crisis and Emergency Response,Economic and Infrastructure Development,Social and Cultural Events,Environmental and Health,Legal and Judicial Changes,International Relations and Diplomacy,Historical and Monumental,Social and Civil Rights
24,India's First Hyperloop Project Announcement,Unknown,February,2018,India,Infrastructure,Maharashtra,Proposal for highUnknownspeed transportation system,Potential commuters,"Virgin Hyperloop One, State Government",Positive,Economic and Infrastructure Development,Asia,0.04753325,0.003487846,0.027666712,0.30865845,0.07796479,0.31559506,0.020949723,0.13593404,0.0011103546,0.04798435,0.013020174,9.5267445e-05
25,Indian Independence,15,August,1947,India,Political,India,End of British rule and birth of independent India,All citizens of India,"Indian National Congress, Muslim League",Positive,Political Events,Asia,0.17750229,0.16318808,0.17009099,0.032870375,0.03015902,0.054574437,0.13492076,0.008886283,0.102059595,0.04960749,0.073232725,0.0029079162
26,First General Elections,Unknown,October,1951,India,Political,India,Establishment of democratic governance,Indian electorate,Government of India,Positive,Political Events,Asia,0.13999426,0.10712572,0.2669738,0.023743602,0.0158065,0.06397438,0.19180873,0.020564817,0.08110459,0.028151564,0.058249682,0.002502389
27,SinoUnknownIndian War,20,October,1962,India,Military Conflict,Border regions of India,Highlighted the border disputes and led to military and strategic changes,Border communities,"India, China",Negative,Military and Conflict,Asia,0.11756813,0.15418635,0.12355292,0.08051642,0.057759017,0.09334149,0.09794943,0.04151311,0.038438715,0.12001528,0.07512008,3.9011044e-05
28,First Nuclear Test (Smiling Buddha),18,May,1974,India,Nuclear Test,"Pokhran, Rajasthan","India joins the nuclear club, changing its strategic position globally",International community,Government of India,Mixed,Technological and Scientific Advancements,Asia,0.0997587,0.054882612,0.07256174,0.2655844,0.005538047,0.061457936,0.06906273,0.017973289,0.005997203,0.27978903,0.06566744,0.0017269457
29,Emergency Declared by Indira Gandhi,25,June,1975,India,Political,India,Period of political unrest and curtailment of civil liberties,Indian citizens,"Indira Gandhi, Government of India",Negative,Political Events,Asia,0.13427982,0.09916132,0.19060938,0.034020126,0.1463683,0.0331372,0.13437389,0.088684954,0.06572614,0.031625047,0.0404479,0.0015659665
30,Bhopal Gas Tragedy,3,December,1984,India,Industrial Disaster,"Bhopal, Madhya Pradesh",World's worst industrial disaster,Residents of Bhopal,Union Carbide Corporation,Negative,Other,Asia,0.05209789,0.03599484,0.026990965,0.1514513,0.24029978,0.11971356,0.0397226,0.3086442,0.00033698275,0.008319267,0.008628514,0.007800068
31,Economic Reforms and Liberalization,Unknown,July,1991,India,Economic Policy,India,Opening of the Indian economy to global markets and investors,"Indian businesses, workers","Manmohan Singh, P.V. Narasimha Rao",Positive,Economic and Infrastructure Development,Asia,0.15980835,0.07139754,0.13451056,0.024299048,0.009104649,0.30661967,0.09778952,0.027099388,0.034684323,0.058435895,0.06589912,0.010351954
32,Kandahar Hijacking (IC 814),24,December,1999,India,Terrorism,"Kandahar, Afghanistan",Highlighted issues in aviation security and terrorism,"Passengers, crew","Hijackers, Indian Government",Negative,Crisis and Emergency Response,Asia,0.0972955,0.07018608,0.080039434,0.17285587,0.32438213,0.024776679,0.04555026,0.057687268,0.047894113,0.04571609,0.033217534,0.00039908162
33,2001 Indian Parliament Attack,13,December,2001,India,Terrorism,New Delhi,Led to increased tensions between India and Pakistan,Indian political system,"Terrorist groups, Government of India",Negative,Crisis and Emergency Response,Asia,0.14042462,0.0980809,0.095777534,0.083338544,0.23261409,0.061106235,0.07063964,0.03432718,0.032404974,0.0638054,0.07318418,0.014296735
34,Right to Education Act,4,August,2009,India,Legislation,India,Ensured free and compulsory education for children,Children aged 6 to 14,Government of India,Positive,Other,Asia,0.18973616,0.03327729,0.16537407,0.02549602,1.9327751e-06,0.048629634,0.15896216,0.0069344374,0.30019993,0.033445295,0.03207275,0.0058703474
35,Article 370 Revocation for Jammu & Kashmir,5,August,2019,India,Political,Jammu & Kashmir,Changed the special status and autonomy of J&K,Residents of J&K,Government of India,Mixed,Political Events,Asia,0.1536644,0.08210148,0.1462576,0.07597701,0.095058404,0.041199878,0.0799901,0.045765832,0.14225803,0.053121597,0.0843616,0.00024400844
36,Supreme Court Verdict on Ayodhya,9,November,2019,India,Judiciary,Ayodhya,Paved the way for the construction of a Ram Temple,Hindu and Muslim communities,Supreme Court of India,Mixed,Political Events,Asia,0.14394952,0.032421738,0.1332536,0.055252418,0.047617737,0.031796534,0.11070412,0.03218053,0.15919715,0.050391413,0.19884312,0.0043920563
37,Opening of BandraUnknownWorli Sea Link,30,June,2009,India,Infrastructure,Mumbai,Improved connectivity and reduced travel time in Mumbai,Commuters in Mumbai,Government of Maharashtra,Positive,Economic and Infrastructure Development,Asia,0.063544996,0.05088582,0.023037031,0.28783894,0.041417528,0.1670592,0.049267314,0.036918223,0.000100048856,0.2326911,0.044186536,0.003053233
38,Statue of Unity Unveiled,31,October,2018,India,Cultural/Political,Gujarat,"Became the world's tallest statue, symbolizing unity",Indian citizens,Government of India,Positive,Social and Cultural Events,Asia,0.085853174,0.047117896,0.12230488,0.08906916,0.031858306,0.010925126,0.20564345,0.032374177,0.02633875,0.07587985,0.26724616,0.005389052
39,Triple Talaq Bill Passed,30,July,2019,India,Legislation,India,Made instant triple talaq a criminal offence,Muslim women,Parliament of India,Positive,Other,Asia,0.15496083,0.031025048,0.08621767,0.022618653,0.19586957,0.012995398,0.08837024,0.028233742,0.29571906,0.002179143,0.081690624,0.00012003769
40,India's First Transgender University,Unknown,January,2020,India,Education,Uttar Pradesh,Empowered the transgender community through education,Transgender community,Dr. Akhilesh Das Gupta Foundation,Positive,Social and Cultural Events,Asia,0.17745169,0.048329797,0.15566123,0.017590113,2.5381976e-05,0.020024832,0.19109656,6.833691e-05,0.1851692,0.10770521,0.07055509,0.026322443
41,Nationwide Lockdown due to COVIDUnknown19,24,March,2020,India,Public Health,India,Aimed to prevent the spread of COVIDUnknown19; significant economic impact,Entire population,Government of India,Negative,Environmental and Health,Asia,0.07328423,0.057255704,0.11692343,0.07731855,0.04246768,0.19275501,0.08249508,0.14301069,0.019710422,0.10426317,0.028324893,0.062191162
42,Historic Win in Cricket World Cup 1983,25,June,1983,India,Sports,"Lord's, England","Marked India's first Cricket World Cup win, boosting the sport's popularity",Indian sports fans,Indian cricket team,Positive,Social and Cultural Events,Asia,0.16244546,0.08863642,0.06899477,0.21092576,0.0002495364,0.037172634,0.18705498,0.004245489,0.0058821347,0.17276585,0.035368517,0.026258394
43,2013 Uttarakhand Floods,Unknown,June,2013,India,Natural Disaster,Uttarakhand,Severe floods causing massive destruction and loss of life,"Residents, pilgrims","State Government, National Disaster Response Force",Negative,Environmental and Health,Asia,0.030009657,0.063021824,0.039193045,0.06830022,0.20393662,0.05145283,0.038152497,0.46050492,0.0019824526,0.000944961,0.038062897,0.0044380417
44,Indian Mars Orbiter Mission Success,24,September,2014,India,Space Exploration,Mars,"Made India the first Asian nation to reach Mars orbit, and at first attempt",Indian scientific community,ISRO,Positive,Technological and Scientific Advancements,Asia,0.08756616,0.041191783,0.023703028,0.5582102,0.034928303,0.035351142,0.06608314,0.0008915503,0.010387375,0.11464365,0.025888858,0.0011548001
45,India Wins ICC T20 World Cup 2007,24,September,2007,India,Sports,South Africa,Boosted the popularity of T20 cricket in India and worldwide,Indian sports fans,Indian cricket team,Positive,Social and Cultural Events,Asia,0.13973863,0.06099203,0.036670007,0.21369074,0.025315404,0.026108079,0.07723105,0.04303479,0.031802032,0.30452535,0.020055303,0.020836577
46,India's Demonetisation Campaign,8,November,2016,India,Economic Policy,Nationwide,"Aimed to curb illegal cash holdings, and promote digital transactions",Entire population,"Government of India, Prime Minister Narendra Modi",Mixed,Economic and Infrastructure Development,Asia,0.17039083,0.031225607,0.10142633,0.057552807,0.10547292,0.117624134,0.08890486,0.07283184,0.15317458,0.011242581,0.051947843,0.03820567
47,Introduction of UPI (Unified Payment Interface),Unknown,April,2016,India,Financial Technology,Nationwide,"Revolutionized digital payments in India, making transactions simple and fast","Indian consumers, businesses",National Payments Corporation of India (NPCI),Positive,Social and Cultural Events,Asia,0.13225722,0.003988957,0.07271085,0.07439853,0.00020335181,0.31191432,0.079682454,0.0043868916,0.08214129,0.096749306,0.040005066,0.101561785
48,Jio Telecom Launch,5,September,2016,India,Telecommunications,Nationwide,Dramatically increased internet accessibility and usage in India,Indian population,Reliance Industries,Positive,Social and Cultural Events,Asia,0.14368564,0.008867603,0.08640308,0.11520021,0.02620114,0.27830774,0.12835076,0.012591882,0.0076965145,0.104130596,0.044687618,0.04387726
49,Abolition of Instant Triple Talaq,30,July,2019,India,Legal,Nationwide,Protected Muslim women's rights by making instant triple talaq illegal,Muslim women,Parliament of India,Positive,Legal and Judicial Changes,Asia,0.16911379,0.05445839,0.11723297,0.012592884,0.07183678,0.009282904,0.11457041,0.012006398,0.31246352,0.023764063,0.09555998,0.0071179196
50,Asiatic Lion Census Showing Population Increase,Unknown,May,2020,India,Wildlife Conservation,Gujarat,"Indicated successful conservation efforts, with an increase in the Asiatic lion population",Asiatic lions,"Wildlife Conservationists, Government of Gujarat",Positive,Social and Cultural Events,Asia,0.23746048,0.059977844,0.03498923,0.05336379,0.03343423,0.05905806,0.14399937,0.07251331,0.015747918,0.05217467,0.21008341,0.027197791
51,Decriminalisation of Section 377,6,September,2018,India,Legal,Nationwide,"Landmark judgement for LGBTQ+ rights in India, decriminalizing homosexuality",LGBTQ+ community,Supreme Court of India,Positive,Legal and Judicial Changes,Asia,0.12679109,0.014465287,0.11134209,0.0017767224,0.031005293,7.609127e-05,0.09777216,0.012933926,0.469068,0.041455284,0.084748425,0.008565637
52,Launch of ChandrayaanUnknown1,22,October,2008,India,Space Exploration,Moon,"India's first lunar mission, contributing significant findings like water molecules on Moon",Scientific community,Indian Space Research Organisation (ISRO),Positive,Technological and Scientific Advancements,Asia,0.03280766,0.036935322,0.031025361,0.53754723,0.042327628,0.033503193,0.05475553,0.058781162,8.6519605e-05,0.10848416,0.050679654,0.013066551
53,Start of Swachh Bharat Mission,2,October,2014,India,Environmental/Social,Nationwide,"Aimed at cleaning up the streets, roads and infrastructure of cities, towns, and rural areas",Indian population,"Government of India, Prime Minister Narendra Modi",Positive,Social and Cultural Events,Asia,0.1675428,0.041575022,0.0908139,0.096988566,0.09992154,0.11161105,0.12512481,0.10521073,0.034112573,0.037453994,0.08238851,0.007256508
54,Pulwama Terrorist Attack,14,February,2019,India,Terrorism,"Pulwama, Jammu and Kashmir",Led to a significant military and diplomatic standoff between India and Pakistan,Indian security forces,JaishUnknowneUnknownMohammed,Negative,Crisis and Emergency Response,Asia,0.11422201,0.110895164,0.08317983,0.10743729,0.2923909,0.039550316,0.04908834,0.03496377,0.021097798,0.094308615,0.049950965,0.0029150466
55,Historic Solar Alliance Initiative,30,November,2015,India,International Cooperation,"Paris, France",India coUnknownlaunched the International Solar Alliance to promote solar energy globally,Global community,"Government of India, France",Positive,International Relations and Diplomacy,Asia,0.0904413,0.05273263,0.07850822,0.17251232,0.010986853,0.08856825,0.12220264,0.028281659,0.008482206,0.30828777,0.028518684,0.010477447
56,GST (Goods and Services Tax) Implementation,1,July,2017,India,Economic Reform,Nationwide,"Unified the country's tax system, replacing multiple indirect taxes with a single tax","Businesses, consumers",Government of India,Positive,Economic and Infrastructure Development,Asia,0.090939365,0.054756653,0.1787481,0.026570745,5.074996e-05,0.28448072,0.09217104,0.048083495,0.111898966,0.07777689,0.020917004,0.013606261
57,Citizenship Amendment Act (CAA) Implementation,12,December,2019,India,Legislation,Nationwide,Led to widespread protests due to concerns over citizenship criteria based on religion,Indian citizens,Government of India,Mixed,Other,Asia,0.18760224,0.058500398,0.15246975,0.03766075,0.035699904,0.037651457,0.16396391,0.02270843,0.19225204,0.059993662,0.044278864,0.007218532
58,2016 Uri Attack and Subsequent Surgical Strikes,18,September,2016,India,Military,"Uri, Jammu and Kashmir",Led to crossUnknownborder surgical strikes by India against militant launch pads in Pakistan,Military forces,Indian Army,Mixed,Military and Conflict,Asia,0.08955219,0.089168586,0.065067716,0.17719157,0.33919466,0.013376619,0.054176643,0.055039052,0.031403076,0.04684739,0.02615527,0.012827254
59,Formation of Indian National Congress,28,December,1885,India,Political Formation,Bombay,Aimed to obtain a greater share in government for educated Indians.,Indian political leaders,"Allan Octavian Hume, Indian leaders",Positive,Political Events,Asia,0.20564547,0.05375037,0.20510268,0.018099623,3.800264e-05,0.121781774,0.1601449,0.002265154,0.072763406,0.07902461,0.081290945,9.306508e-05
60,Partition of Bengal,16,October,1905,India,Administrative,Bengal,Led to widespread nationalistic protests and was eventually reversed in 1911.,People of Bengal,Lord Curzon,Negative,Other,Asia,0.17757836,0.11967771,0.18361518,0.018602569,0.053493924,0.06916986,0.12671983,0.031217579,0.040070496,0.045961272,0.13314524,0.00074795174
61,Jallianwala Bagh Massacre,13,April,1919,India,Massacre,Amritsar,Galvanized the Indian population against British rule.,People of Amritsar,General Dyer,Negative,Crisis and Emergency Response,Asia,0.16965996,0.10419324,0.13524519,0.01646601,0.24251327,0.032792512,0.08763107,0.05180196,0.053766135,0.0013472921,0.08503048,0.019552821
62,NonUnknownCooperation Movement,1,August,1920,India,Civil Disobedience Movement,Nationwide,"NonUnknownviolent resistance against British rule, emphasizing swaraj and swadeshi.",Indian civilians,Mahatma Gandhi,Positive,Political Events,Asia,0.18849753,0.17430605,0.17109919,0.03333334,0.05812259,0.04581829,0.09049434,0.028306365,0.12129063,0.04641753,0.037886236,0.004427958
63,Chauri Chaura Incident,4,February,1922,India,Violent Protest,Chauri Chaura,Led to Gandhi halting the NonUnknownCooperation Movement due to violence.,Protesters,Indian protesters,Negative,Political Events,Asia,0.17409246,0.08952026,0.14800362,0.03576518,0.18197004,0.006992937,0.1096056,0.06266336,0.08663131,0.0055376207,0.09295957,0.0062581627
64,Dandi March,12,March,1930,India,Civil Disobedience,Dandi,"Protest against the salt tax and British monopoly, pivotal in the independence movement.","Mahatma Gandhi, followers",Mahatma Gandhi,Positive,Political Events,Asia,0.16048212,0.15344863,0.18178213,0.012325237,0.07917201,0.075399235,0.17616986,0.021626204,0.05833154,0.030250695,0.033736628,0.017275775
65,First Round Table Conference,Unknown,November,1930,UK,Conference,London,Aimed at discussing constitutional reforms; boycotted by the Congress.,"Indian princely states, British officials",British government,Mixed,Political Events,Europe,0.120673425,0.07831472,0.22359794,0.06336895,0.022250587,0.031939503,0.18703206,0.022681134,0.13676614,0.06860733,0.044221386,0.00054682605
66,Purna Swaraj Declaration,26,January,1930,India,Political Declaration,Lahore,The declaration of complete independence from British rule by the Congress.,Indian National Congress,Indian National Congress,Positive,Political Events,Asia,0.13380031,0.13227826,0.21243747,0.039636504,0.015734926,0.03862737,0.13119568,0.0060424386,0.11993499,0.11215958,0.052146774,0.0060057123
67,Quit India Movement,8,August,1942,India,Mass Protest,Bombay,Called for an orderly British withdrawal from India.,"Indian National Congress, Indian civilians","Mahatma Gandhi, Indian National Congress",Positive,Political Events,Asia,0.19647844,0.19113469,0.18600774,0.022739874,0.053199492,0.024059664,0.11748131,0.006188356,0.09963997,0.05244328,0.050247867,0.00037944168
68,Cripps Mission,Unknown,March,1942,India,Negotiation,New Delhi,Proposed Indian dominion status after WWII; rejected by Indian leaders.,Indian leaders,Sir Stafford Cripps,Negative,Political Events,Asia,0.15526196,0.12550084,0.14321935,0.12547594,0.053368412,0.044279475,0.10220016,0.036509212,0.0685495,0.08147018,0.05885979,0.0053052665
69,Bengal Famine of 1943,Unknown,Unknown,1943,India,Famine,Bengal,Led to widespread criticism of British war policies and their impact on Indian civilians.,People of Bengal,British administration,Negative,Other,Asia,0.13960809,0.14204426,0.08562004,0.047832586,0.23151578,0.035223402,0.065413505,0.16097115,0.015064835,0.025378969,0.04632307,0.0050043417
70,Partition Plan Announced,3,June,1947,India,Political Decision,New Delhi,Announced the creation of India and Pakistan as separate nations.,People of India and Pakistan,Lord Mountbatten,Negative,Political Events,Asia,0.118977435,0.08615237,0.19212408,0.06044038,0.007878832,0.08859626,0.0807829,0.01132464,0.05172695,0.1916187,0.10789989,0.0024774552
71,Integration of Princely States,Unknown,Unknown,1947,India,Political Integration,Various,Unified India by integrating princely states into the Indian Union.,"Princely states, Indian Union",Sardar Vallabhbhai Patel,Positive,Political Events,Asia,0.16795817,0.10677897,0.15041292,0.030779999,0.0010244058,0.08570023,0.08990925,0.00038943376,0.08107544,0.1813757,0.10124979,0.0033457945
72,Constitution of India Adopted,26,January,1950,India,Constitutional Adoption,New Delhi,"India became a sovereign, socialist, secular, democratic republic.",Indian citizens,Constituent Assembly of India,Positive,Political Events,Asia,0.17250654,0.104172334,0.23542032,0.009778873,0.00020238708,0.044637367,0.1308747,0.0024704495,0.14304541,0.091264315,0.060362417,0.0052648797
79,Reserve Bank of India (RBI),1,April,1935,India,Central Banking Institution,Calcutta (now Kolkata),"Regulates the issue of banknotes, maintains reserves to secure monetary stability, and operates the currency and credit system of the country.","Indian economy, global investors",British Government (preUnknownindependence),Positive,Other,Asia,0.11092912,0.032527924,0.17382613,0.052218437,0.018169407,0.1349254,0.015872411,0.0019541646,0.25530258,0.13339369,0.024701195,0.046179503
80,Indian Space Research Organisation (ISRO),15,August,1969,India,Space Agency,Bangalore,"Leads India's space exploration and satellite deployment, contributing to national development and global space science.","Global scientific community, Indian population",Government of India,Positive,Other,Asia,0.0530767,0.029221093,0.01807906,0.4195525,0.04169755,0.113717735,0.049478907,0.053005382,0.0031474808,0.1933182,0.008860419,0.016844943
81,Bharatiya Janata Party (BJP),6,April,1980,India,Political Party,New Delhi,"Major political party in India, influencing the country's political landscape and governance policies.",Indian citizens,"Atal Bihari Vajpayee, L.K. Advani",Positive,Political Events,Asia,0.17271651,0.081634395,0.27708068,0.0010665638,0.031146575,0.1451162,0.14746001,0.04440044,0.009427903,0.040598955,0.048802417,0.000549393
82,Securities and Exchange Board of India (SEBI),12,April,1988,India,Regulatory Body,Mumbai,"Regulates the securities market in India, protecting investors and promoting the development of the securities market.","Investors, financial market participants",Government of India,Positive,Political Events,Asia,0.16617809,0.020368913,0.09677652,0.0077066976,0.044171,0.046189062,0.058634635,0.00013976818,0.3523057,0.12506402,0.080603935,0.0018616879
83,Taj Mahal,Unknown,Unknown,1653,India,Mausoleum,Agra,"A UNESCO World Heritage Site, symbolizing love, and an architectural marvel of the Mughal era.","Global tourists, historians",Emperor Shah Jahan,Positive,Historical and Monumental,Asia,0.11380457,0.037125,0.06534932,0.07116578,0.076464966,0.0064238603,0.11602417,0.034042466,0.038568713,0.095848314,0.33513466,0.010048141
84,Golden Temple (Harmandir Sahib),Unknown,Unknown,1585,India,Religious Shrine,Amritsar,"The spiritual and cultural center for the Sikh religion, known for its goldUnknownplated facade.","Sikhs, global pilgrims",Guru Arjan,Positive,Environmental and Health,Asia,0.09971517,0.01067743,0.10878959,0.016228938,0.065864615,0.04224053,0.14486901,0.10469559,0.027951205,0.080970794,0.29734048,0.0006565535
85,Creation of Pakistan,14,August,1947,Pakistan,Country Formation,Pakistan,Establishment of Pakistan as a separate nation for Muslims of the Indian subcontinent.,Muslims in Indian subcontinent,Muhammad Ali Jinnah,Positive,Political Events,Asia,0.17159274,0.07345625,0.20584564,0.025468333,0.026900938,0.06256483,0.09657247,1.6242548e-06,0.09347584,0.12734842,0.10935777,0.007415147
86,First IndoUnknownPak War,22,October,1947,Pakistan,Military Conflict,Kashmir,Conflict over the princely state of Kashmir leading to ongoing disputes.,Residents of Kashmir,India and Pakistan,Negative,Military and Conflict,Asia,0.13089536,0.2155306,0.14321505,0.08862884,0.09339313,0.049482346,0.069844365,0.039151568,0.03449072,0.0717852,0.06357761,5.2350774e-06
87,Pakistan Joins the United Nations,30,September,1947,Pakistan,International Relations,New York,"Pakistan becomes a member of the UN, starting its journey in international diplomacy.",Global community,Government of Pakistan,Positive,International Relations and Diplomacy,Asia,0.065887764,0.05223798,0.08186942,0.103548475,0.00083048287,0.06110798,0.039838295,0.011319145,0.009549195,0.51467735,0.056614116,0.002519887
88,First Constitution of Pakistan,23,March,1956,Pakistan,Constitutional,Pakistan,"Pakistan becomes an Islamic republic, adopting its first constitution.",Pakistani citizens,Constituent Assembly of Pakistan,Positive,Political Events,Asia,0.14143755,0.07585233,0.24508496,0.042994767,0.0017459929,0.03143248,0.111307465,0.0028511095,0.15973666,0.10397328,0.081193775,0.0023896259
89,East Pakistan demands autonomy,7,March,1971,Pakistan,Political Movement,Dhaka,Sheikh Mujibur Rahman's historic speech demanding autonomy for East Pakistan.,People of East Pakistan,Sheikh Mujibur Rahman,Mixed,Political Events,Asia,0.15811239,0.12879826,0.2261589,0.0013889435,0.008948853,0.0036439141,0.059303705,0.0065168585,0.19959167,0.10325099,0.097923405,0.0063621663
